strength_k,diameter,resolution_order,m,eigen_index,real_sigma,imag_sigma,abs_sigma,edge_fraction,radial_roughness
8.0,3.3,40,5,55,7.879634927183126e-19,105.51809068974349,105.51809068974349,0.1647758979647772,307.33239471640434
8.0,3.3,40,5,56,-2.1414977174464322e-18,-93.54399962725576,93.54399962725576,0.17702133461602126,290.7836490195756
8.0,3.3,40,5,57,-2.1569698553519035e-18,91.71022487099695,91.71022487099695,0.17529644460129257,262.5269688154712
8.0,3.3,40,5,58,7.226282446944824e-20,-80.80455997546794,80.80455997546794,0.17421491936501543,247.85035810596287
8.0,3.3,40,5,59,7.845773389647138e-19,79.01744863583745,79.01744863583745,0.17370910139441909,221.04606484747526
8.0,3.3,40,5,60,2.386200901897794e-18,-69.08096408017724,69.08096408017724,0.16441194013400473,209.0635270581471
8.0,3.3,40,5,61,2.0754667278637263e-18,67.32159125821835,67.32159125821835,0.16381715224191176,183.60623196067704
8.0,3.3,40,5,62,-1.971843921068348e-18,-58.264129629934544,58.264129629934544,0.15507904816418844,173.80722782380792
8.0,3.3,40,5,63,-2.585954075359314e-18,56.55483330819013,56.55483330819013,0.1527914785281017,149.33930453878176
8.0,3.3,40,5,64,-1.6122120658167032e-18,-48.52956156733258,48.52956156733258,0.15408499669724038,141.57377409697298
8.0,3.3,40,5,65,-3.3779053333153516e-19,46.91745861022474,46.91745861022474,0.1526357081245346,117.99841540541856
8.0,3.3,40,5,66,3.437930979175103e-18,-39.87733740737168,39.87733740737168,0.16801672949723834,113.70868695940902
8.0,3.3,40,5,67,3.6309313699742746e-18,38.33182172775431,38.33182172775431,0.17097999687853693,90.51499066369146
8.0,3.3,40,5,68,-1.463401926993029e-18,-32.084968353699274,32.084968353699274,0.18480608100602502,90.28461926767449
8.0,3.3,40,5,69,-4.069379674049976e-18,-25.320933248235864,25.320933248235864,0.18409898340791367,70.35486542611831
8.0,3.3,40,5,70,-2.6819012486082503e-18,30.639237116304308,30.639237116304308,0.1898790973655086,66.23467434549377
8.0,3.3,40,5,71,-1.857558910900068e-18,24.072145388284547,24.072145388284547,0.18689382660108583,44.44997112581759
8.0,3.3,40,5,72,3.74124871329067e-18,-19.68422813540505,19.68422813540505,0.18487675846586052,58.413233187545245
8.0,3.3,40,5,73,6.815667630665883e-18,18.583546221488373,18.583546221488373,0.18471519445254178,26.302072847901528
8.0,3.3,40,5,74,-6.615811970900784e-18,-15.047673919527586,15.047673919527586,0.24651694999187176,63.23402097896563
8.0,3.3,40,5,75,8.009895358963561e-17,-11.960506319230861,11.960506319230861,0.645395005108961,97.71425422428743
8.0,3.3,40,5,76,-4.76455817629056e-18,14.141693067143835,14.141693067143835,0.21567053425252455,11.622710834414244
8.0,3.3,40,5,77,1.1775531684075381e-17,9.864391844310195,9.864391844310195,0.05271768976790314,21549.469202259224
8.0,3.3,40,5,78,-1.7129668161471514e-18,10.731410364740553,10.731410364740553,0.3180346915527749,2.43591042588178
8.0,3.3,40,5,79,-3.371823847424915e-17,-3.1546191528144507,3.1546191528144507,0.31121016628575227,2603.3532410272355
8.0,3.3,40,5,80,-8.163758478078524e-18,-7.253117070366913,7.253117070366913,0.747320712750083,25.628362610472678
8.0,3.3,40,5,81,1.400017554715996e-15,-0.047134689691591965,0.047134689691591965,0.2987023787331606,17.74203887718124
8.0,3.3,40,5,82,-2.732750507975134e-16,0.03125100278932089,0.03125100278932089,0.4595060648839198,10379.156994692958
8.0,3.3,40,5,83,1.9623704958577323e-15,0.006807365839291968,0.006807365839291968,0.14921386100291772,68.79759959255013
8.0,3.3,40,5,84,-5.2292991719888455e-15,-0.002959803270757781,0.002959803270757781,0.42501909653397524,310.28491474843656
8.0,3.3,40,5,85,1.2206258022323057e-13,0.002312477114600556,0.002312477114600556,0.2568220359693222,262.6617601081909
8.0,3.3,40,5,86,-1.6891985360286095e-12,-0.001346104576865589,0.001346104576865589,0.13781633026886014,330.2311572140082
8.0,3.3,40,5,87,1.6515368342885367e-12,0.0011884893262328422,0.0011884893262328422,0.09618449235904372,390.39387581373984
8.0,3.3,40,5,88,5.483985276061995e-13,0.0010774330108278185,0.0010774330108278185,0.27184382672047047,533.8724731378154
8.0,3.3,40,5,89,-4.048299217866841e-12,-0.001004801890285106,0.001004801890285106,0.36601689887664096,575.1374616887988
8.0,3.3,40,5,90,1.1839754285080925e-12,-0.0007320317034133425,0.0007320317034133425,0.24837600544235106,1069.0895816665225
8.0,3.3,40,5,91,2.2836247436384542e-12,0.0006753442390039868,0.0006753442390039868,0.20942322522882142,1007.8000611542802
8.0,3.3,40,5,92,-8.845715016183797e-14,-0.0005835021830145861,0.0005835021830145861,0.13594865152023142,1462.0697321210193
8.0,3.3,40,5,93,-6.808209109997217e-11,-0.0005349302794529896,0.0005349302794529938,0.10597553955025987,799.9362551497694
