diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall
3.3,20.75,8,32,8,-4.148745569837794e-18,-36.972661238945975,36.972661238945975,2.8061779830121534e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,6.245796563955864e-18,-33.30760428124314,33.30760428124314,2.7237742348571782e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-3.7426000205048296e-18,-30.172666682276432,30.172666682276432,3.1311234109893485e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-8.952233772615144e-18,-27.360132630472993,27.360132630472993,5.910568575745232e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,2.0614263593921827e-17,-24.404106343984136,24.404106343984136,3.3928373418429455e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.7787130799179224e-18,-14.673090098699019,14.673090098699019,4.913600928196963e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,4.171105014077683e-18,-19.824382052698475,19.824382052698475,6.549759570077987e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,7.789462389887867e-19,49.56874211042054,49.56874211042054,3.3965822907165965e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,3.769685945972721e-18,44.89725480455942,44.89725480455942,8.456334523179687e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-1.1629569056758468e-17,-10.52800844230276,10.52800844230276,6.202297864311901e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-3.2016355448037665e-18,40.606189334361,40.606189334361,6.253542850172873e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-4.046399900173158e-18,36.724108258946686,36.724108258946686,3.106191546002405e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,6.313190368764788e-18,33.16330498647867,33.16330498647867,2.629253928626355e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-4.6124449710368746e-18,30.179247550618747,30.179247550618747,2.534855705334408e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,1.3185112571216976e-20,25.672879616187178,25.672879616187178,3.2866101123464046e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-1.360838903681119e-17,27.608104508328584,27.608104508328584,7.084483758823592e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,5.377091431680287e-18,24.934396979790918,24.934396979790918,2.3460345425809774e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.567518712000738e-17,23.717413666216572,23.717413666216572,1.027781457901704e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-1.3824516024004533e-17,0.9217785558972326,0.9217785558972326,8.280870056460249e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,9.720665085100931e-15,0.02189956596133961,0.02189956596133961,5.3403094778062286e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-3.157133320064351e-14,-0.019955568570050902,0.019955568570050902,6.073975243905536e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-3.3415701589323155e-13,-0.007822604458920045,0.007822604458920045,1.3933488210801782e-16,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-0.0021217405721416886,-0.0007364055138758064,0.0022459020763022663,4.741842008973324e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.0021217405709892632,-0.0007364055187210743,0.0022459020768022587,2.3925112861142085e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-0.0012530293966150912,0.0014585424224404153,0.0019228699037740265,4.202918700012018e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.0012530293981874799,0.0014585424248524058,0.0019228699066282185,4.0572902807020344e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-0.0009046370609436812,0.001336539233395953,0.001613909952394948,2.9954014220424995e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.0009046370610625489,0.0013365392349282347,0.0016139099537305162,2.954184467096674e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-0.0011781659790745574,0.0001497445359590082,0.0011876440966460825,4.4400524927959246e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
