diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall,matched_real_high,matched_imag_high,resolution_shift,n_radial_high
3.3,20.75,8,24,8,-0.0004278742611606326,-0.0014898132307813085,0.0015500386595097549,2.471410304525699e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-0.00013579235539776816,-0.001034458547385458,0.0005409803391664083,32
3.3,20.75,8,24,8,-0.0006957879997098297,-0.0003507288143625955,0.0007791865256563398,5.875106513149858e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-0.0008484467276847322,-0.0007723601886057629,0.0004484168852453007,32
3.3,20.75,8,24,8,0.0006957879981480844,-0.00035072881645729226,0.0007791865252046211,6.387176492493922e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,0.000848446727749894,-0.0007723601876646809,0.0004484168829447228,32
3.3,20.75,8,24,8,-0.00014859182776365992,0.00015879954751101552,0.00021747833815773113,5.273102235664109e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,6.264138710969094e-14,0.00013262480612705147,0.0001508795823936379,32
3.3,20.75,8,24,8,0.0001485918291010726,0.00015879955267692936,0.00021747834284359266,5.446219273713296e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,6.264138710969094e-14,0.00013262480612705147,0.00015087958448357656,32
3.3,20.75,8,24,8,1.0666583549227906e-13,6.48328887186092e-07,6.483288871861008e-07,1.8473684710248034e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.5124173479966664e-15,2.613006777488728e-08,6.221988194112143e-07,32
3.3,20.75,9,24,8,6.869206606450636e-18,-262.7099642327873,262.7099642327873,8.135336919602155e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.3822851455364554e-20,-263.09134319545325,0.3813789626659627,32
3.3,20.75,9,24,8,-3.446878090149622e-17,254.52609154062134,254.52609154062134,9.191018446933712e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,1.3345366586998755e-20,218.87666177464064,35.6494297659807,32
3.3,20.75,9,24,8,-4.182553321861684e-15,212.48060120909267,212.48060120909267,5.852559747350975e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,1.3345366586998755e-20,218.87666177464064,6.39606056554797,32
3.3,20.75,9,24,8,-1.9299065944135447e-17,-161.0125912015458,161.0125912015458,1.0786560091866208e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-9.489333269574459e-20,-173.89376122901012,12.881170027464321,32
3.3,20.75,9,24,8,-1.8465142492262306e-14,-124.71392239456098,124.71392239456098,3.851553281446318e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,3.8065862725307245e-19,-127.50756228593767,2.793639891376685,32
3.3,20.75,9,24,8,-4.1967031539774595e-15,125.21345754065703,125.21345754065703,1.3060750319177545e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-3.017564336910205e-19,130.05048109127253,4.837023550615498,32
3.3,20.75,9,24,8,2.037506989299994e-14,120.5920470031538,120.5920470031538,1.6964446670696633e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-2.4564042672080783e-19,118.3417075952644,2.250339407889399,32
3.3,20.75,9,24,8,7.254312054588723e-16,-100.98129919048961,100.98129919048961,5.906254759625282e-18,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.4104286999432396e-18,-99.79907697415926,1.182222216330345,32
3.3,20.75,9,24,8,1.2115637058458944e-14,86.6627160643946,86.6627160643946,9.605050985286002e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-4.1594120691934876e-19,88.9517401028922,2.289024038497601,32
3.3,20.75,9,24,8,-8.302419511704032e-16,-76.25621456222646,76.25621456222646,9.249217287586155e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-9.580301215533315e-19,-76.03183356183898,0.22438100038748132,32
3.3,20.75,9,24,8,5.02607945343846e-15,-73.54643130729494,73.54643130729494,4.179063258324581e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-9.580301215533315e-19,-76.03183356183898,2.4854022545440415,32
3.3,20.75,9,24,8,-2.3679074101773706e-15,75.61422806184328,75.61422806184328,6.40321470213249e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.5767139655851323e-18,75.15050939250709,0.4637186693361883,32
3.3,20.75,9,24,8,2.9350251276205087e-15,68.29022309066566,68.29022309066566,2.356349167756946e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.7846494706879034e-18,68.6983649856898,0.4081418950241442,32
3.3,20.75,9,24,8,-5.658536280667401e-15,-63.12268256102744,63.12268256102744,2.8544699600781885e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.5547524174916187e-18,-63.45623723456141,0.3335546735339676,32
3.3,20.75,9,24,8,-1.0747478171992106e-16,62.14781619942687,62.14781619942687,3.858094873368334e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.8628181183663882e-18,62.6741319822943,0.5263157828674281,32
3.3,20.75,9,24,8,-3.5939351319091336e-15,-58.08331779106509,58.08331779106509,2.3012868119852345e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,4.2427226592687696e-19,-57.69317275636523,0.39014503469986295,32
3.3,20.75,9,24,8,-2.048100296317524e-15,-52.23351706190563,52.23351706190563,2.4657140359949352e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-3.4068302933583546e-18,-52.30525032465973,0.07173326275410119,32
3.3,20.75,9,24,8,6.171105695256284e-16,-47.36085662826894,47.36085662826894,1.563591116531093e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.394691840055773e-18,-47.370652745946934,0.009796117677993266,32
3.3,20.75,9,24,8,-3.5731848933015457e-16,-42.79417827385122,42.79417827385122,1.5333338317272678e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.0187343485162306e-18,-42.79206926063747,0.0021090132137544515,32
3.3,20.75,9,24,8,-6.757103957145276e-17,-38.597085352585474,38.597085352585474,1.6474596886243842e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-5.2041057333590845e-18,-38.596760220119236,0.00032513246623722125,32
3.3,20.75,9,24,8,6.071424381949759e-16,-34.748807583160186,34.748807583160186,1.847653379580814e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.9524052491183458e-18,-34.748896358308855,8.877514866867386e-05,32
3.3,20.75,9,24,8,-1.5625613848332782e-15,-31.311792914500067,31.311792914500067,1.870504237046767e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,4.632617502756028e-18,-31.311646385868706,0.0001465286313617753,32
3.3,20.75,9,24,8,8.108003670122731e-14,-28.40253866013295,28.40253866013295,3.631346844857673e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-1.2735874760536713e-17,-28.402637324543022,9.86644100713363e-05,32
3.3,20.75,9,24,8,1.8486168384072707e-13,-18.682898281195015,18.682898281195015,8.026234211668003e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,1.3245752265286315e-19,-15.788536879507861,2.8943614016871546,32
3.3,20.75,9,24,8,-2.650692417681111e-13,-25.21921045658278,25.21921045658278,2.3503430763740722e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,1.9325072390818444e-17,-25.2192872650564,7.68084736222363e-05,32
3.3,20.75,9,24,8,2.8683781072660813e-15,-21.939743743750785,21.939743743750785,4.4214390129864525e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,3.590918852294411e-18,-21.942716279703657,0.0029725359528711692,32
3.3,20.75,9,24,8,7.305865138540161e-18,57.03007142100413,57.03007142100413,3.315308579281336e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.041063706961266e-18,56.964815748744996,0.0652556722591342,32
3.3,20.75,9,24,8,2.5144182867089463e-17,51.62743499583749,51.62743499583749,2.1243915539504693e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,-5.704237290892468e-18,51.663678496895955,0.036243501058464744,32
3.3,20.75,9,24,8,7.426829904289182e-19,46.80615679166007,46.80615679166007,2.947767699190949e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,2.988859729384856e-18,46.80764371512707,0.0014869234669987463,32
3.3,20.75,9,24,8,-9.337940260204462e-18,-11.82627787385598,11.82627787385598,3.3709491535400874e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,5.7910089196529295e-18,-11.82630628414986,2.8410293879232995e-05,32
3.3,20.75,9,24,8,-3.352465623409163e-17,42.31793391087376,42.31793391087376,1.5816746872188239e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931,9.465087358438975e-19,42.31664465735669,0.0012892535170720976,32
